encoder,C,class_weight,lr,macro_f1,micro_f1,food_f1,price_f1,service_f1,ambiance_f1,miscellaneous_f1
unretrained,0.5,,0.01,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
retrained,10.0,balanced,0.01,0.8237054501329168,0.8983308042488619,0.9584905660377359,1.0,0.9230769230769231,0.9090909090909091,0.32786885245901637
retrained,5.0,balanced,0.01,0.8177997564233518,0.8912386706948641,0.9545454545454546,1.0,0.9230769230769231,0.898876404494382,0.3125
retrained,2.0,balanced,0.01,0.8099400599400599,0.881559220389805,0.9545454545454546,1.0,0.9230769230769231,0.8863636363636364,0.2857142857142857
retrained,1.0,balanced,0.01,0.8091352309662169,0.8802395209580839,0.9545454545454546,1.0,0.9230769230769231,0.8863636363636364,0.28169014084507044
retrained,0.01,balanced,0.01,0.807591723345148,0.8776119402985074,0.9545454545454546,1.0,0.9230769230769231,0.8863636363636364,0.273972602739726
retrained,0.05,balanced,0.01,0.807591723345148,0.8776119402985074,0.9545454545454546,1.0,0.9230769230769231,0.8863636363636364,0.273972602739726
retrained,0.1,balanced,0.01,0.807591723345148,0.8776119402985074,0.9545454545454546,1.0,0.9230769230769231,0.8863636363636364,0.273972602739726
retrained,0.5,balanced,0.01,0.807591723345148,0.8776119402985074,0.9545454545454546,1.0,0.9230769230769231,0.8863636363636364,0.273972602739726
retrained,0.01,balanced,0.001,0.8044254253209477,0.9110764430577223,0.9626865671641791,1.0,0.9230769230769231,0.8863636363636364,0.25
retrained,0.05,balanced,0.001,0.8044254253209477,0.9110764430577223,0.9626865671641791,1.0,0.9230769230769231,0.8863636363636364,0.25
retrained,0.1,balanced,0.001,0.8044254253209477,0.9110764430577223,0.9626865671641791,1.0,0.9230769230769231,0.8863636363636364,0.25
retrained,2.0,balanced,0.001,0.8042931031582562,0.9196850393700787,0.966542750929368,1.0,0.9230769230769231,0.896551724137931,0.23529411764705882
retrained,1.0,balanced,0.001,0.8014842488503595,0.9165354330708662,0.9626865671641791,1.0,0.9230769230769231,0.8863636363636364,0.23529411764705882
retrained,0.5,balanced,0.001,0.8001397110352334,0.9150943396226415,0.9626865671641791,1.0,0.9230769230769231,0.8863636363636364,0.22857142857142856
retrained,5.0,balanced,0.001,0.7947342796288445,0.919431279620853,0.966542750929368,1.0,0.9230769230769231,0.896551724137931,0.1875
retrained,10.0,balanced,0.001,0.7947342796288445,0.919431279620853,0.966542750929368,1.0,0.9230769230769231,0.896551724137931,0.1875
retrained,10.0,,0.01,0.43073229291716686,0.7884267631103075,0.9183673469387755,1.0,0.23529411764705882,0.0,0.0
retrained,1.0,,0.01,0.3836734693877551,0.7751371115173674,0.9183673469387755,1.0,0.0,0.0,0.0
retrained,2.0,,0.01,0.3836734693877551,0.7751371115173674,0.9183673469387755,1.0,0.0,0.0,0.0
retrained,5.0,,0.01,0.3836734693877551,0.7751371115173674,0.9183673469387755,1.0,0.0,0.0,0.0
retrained,5.0,,0.001,0.3836734693877551,0.7751371115173674,0.9183673469387755,1.0,0.0,0.0,0.0
retrained,10.0,,0.001,0.3836734693877551,0.7751371115173674,0.9183673469387755,1.0,0.0,0.0,0.0
retrained,1.0,,0.001,0.3786101782485146,0.7695099818511797,0.9183673469387755,0.9746835443037974,0.0,0.0,0.0
retrained,2.0,,0.001,0.3786101782485146,0.7695099818511797,0.9183673469387755,0.9746835443037974,0.0,0.0,0.0
retrained,0.5,,0.001,0.37263052460247903,0.762589928057554,0.9183673469387755,0.9447852760736196,0.0,0.0,0.0
retrained,0.5,,0.01,0.3692156380624539,0.7584973166368515,0.9183673469387755,0.927710843373494,0.0,0.0,0.0
retrained,0.01,,0.01,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
retrained,0.01,,0.001,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
retrained,0.05,,0.01,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
retrained,0.05,,0.001,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
retrained,0.1,,0.01,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
retrained,0.1,,0.001,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
